0.0625	0.363	6.802	7.001	0.286	6.432
0.125	0.206	4.154	3.898	0.169	3.181
0.25	0.121	2.528	2.579	0.105	1.675
0.5	0.070	1.556	1.553	0.063	0.874
1	0.043	0.870	0.932	0.039	0.449
2	0.025	0.512	0.489	0.023	0.229
4	0.014	0.339	0.307	0.012	0.114
8	0.009	0.211	0.192	0.007	0.066
16	0.006	0.129	0.124	0.005	0.035
32	0.005	0.093	0.089	0.004	0.020
64	0.004	0.069	0.070	0.004	0.016
128	0.004	0.054	0.060	0.003	0.011
256	0.004	0.044	0.048	0.003	0.011
512	0.004	0.036	0.045	0.003	0.011
1024	0.004	0.034	0.040	0.003	0.010
2048	0.004	0.032	0.037	0.003	0.010
